,Sentence,Sentiment
3054,can the party in us stocks keep going in 2015,0
3055,can t pay rs 580 crore due to financial crunch dlf to supreme court,-1
3056,can t take more than 200 points view on the nifty ashwani gujral,0
3057,canada based aditya birla minacs worldwide sold to a group of strategic financial investors,0
3058,canara bank q3 profit drops 42 39 on higher provisioning,-1
3059,canara bank q4 profit down 16 at rs 611 crore,-1
3060,canara bank hands over dividend of rs 348 81 cr to government,0
3061,canara bank issues 4 crore shares to lic on preferential basis,0
3062,canara bank shares fall hsbc cuts to underperform,-1
3063,cantabil retail q4 profit slips 48 19 pc at rs 2 58 cr,-1
3064,cantabil lists at 15 per cent discount,-1
3065,capman s first real estate fund which had a total investment capacity of euro 500 million and closed in june 2005 invested in commercial properties in the helsinki metropolitan area,0
3066,capman an asset manager has eur 3bn worth of assets under management in the nordic region,0
3067,capman the stockholm headquartered private equity firm has held a first close on its second private equity real estate fund as it continues its push into the property sector,0
3068,capman with offices in helsinki stockholm copenhagen and oslo manages nordic buyout mezzanine technology life science and real estate funds with approximately eur2 6 bn in total capital,0
3069,capman plc press release 31 march 2008 jukka ruuska president of the omx nordic exchanges and the stockholm stock exchange will transfer to capman effective no later than september 2008,0
3070,capman has four investment areas capman buyout capman technology capman life science and capman real estate and each of them has a dedicated team,0
3071,capman has six investment areas capman buyout capman technology capman life science capman russia capman public market and capman real estate and each of them has a dedicated team and funds,0
3072,capman made its initial investment in onemed in june 2006,0
3073,capman said the deal s effect on its cash flow for 2009 totals eur3 4 m but the transaction would not affect its financial results for 2009 as it was executed at fair value,0
3074,capacity addition to help apl apollo,1
3075,capacity of the facility made by finland s vaahto group is 86 000 tons of light coated paper,0
3076,capacity will ease at its seikku sawmill in pori and alholma sawmill in pietarsaari and result in 60 people being laid off for around six weeks starting mid may it said,-1
3077,capacity will ease at its seikku sawmill in pori and alholma sawmill in pietarsaari and result in 60 people being laid off for around six weeks starting mid may it said,0
3078,capex cycle revival positive for market prefer logistics stocks prakash diwan altamount capital management,1
3079,capgemini raises 2015 revenue outlook on igate acquisition,1
3080,capital base and capital adequacy measurement is based on approaches under basel ii,0
3081,capital good stocks should see a breather david pezarkar,1
3082,capital goods names like cummins voltas and engineers india to fetch returns manish sonthalia,1
3083,capital goods stocks may lead markets down ashwani gujral,-1
3084,capital goods stocks to outperform market going ahead prefer l t skf and voltas pankaj pandey,1
3085,capital goods stocks prospects look better pankaj pandey icicidirect,1
3086,capital goods metal banking indices fall over 2 on poor iip numbers,-1
3087,capitex kalmar will continue to be responsible for the maintenance and technical development of the services,0
3088,capman the finnish alternative asset manager has made an acquisition for its helsinki focused vehicle real estate fund i the fund has bought a seven story office built in 1973 that underwent refurbishment at the end of the 1990s,0
3089,cartrade tech tanks 10 after company reports loss in q4new delhi shares of cartrade tech nosedived about 10 per cent in early trade on thursday after the company reported a disappointing performance in march 2022 quarter the company reported a loss of rs 31 68 crore for the quarter ended march 31 2022 it reported a profit of rs 10 21 crore in the same period previous year following the development shares of cartrade technologies tumbled about 10 per cent to rs 573 50 before trading at rs 589 55 at 9 50 am the scrip had settled at rs 636 10 on wednesday however sales of the company rose 17 64 per cent to rs 36 48 crore in the quarter ended march 2022 as against rs 31 01 crore during the previous quarter ended march 2021 listed in august 2021 cartrade tech is trading about 65 per cent below its issue price of rs 1 618 however the scrip has jumped about 38 per cent from its 52 week low of rs 462 10 hit in february 2022 for the full year 2021 22 it reported a loss of rs 146 07 crore in the year ended march 2022 as against profit of rs 79 41 crore during the previous year ended march 2021 despite a 35 per cent rise in sales to rs 124 85 crore incorporated in 2000 cartrade tech ltd is a multi channel auto platform provider company the company operates various brands such as carwale cartrade shriram automall bikewale cartradeexchange adroit auto and autobiz recently the global brokerage nomura has initiated coverage on cartrade tech with buy rating and a target price of rs 770 signaling a upside of 35 per cent from thursday s lows it believes the company has high growth visibility and will benefit from rising digital spends by auto oems original equipment makers and dealers further at current levels it said the stock is inexpensive given growth prospects the company reported 30 million average monthly unique visitors for q4 fy22 of which 84 20 per cent were organic the number of listings for auction were 11 63 235 for fy22 another brokerage firm kotak institutional equities has an add call on cartrade with a target price of rs 675 it said it notes that the company has rs 10 billion of cash on books as of march 2022 which it plans to utilize for inorganic growth following the development shares of cartrade technologies tumbled about 10 per cent to rs 573 50 before trading at rs 589 55 at 9 50 am the scrip had settled at rs 636 10 on wednesday,-1
3090,carborundum universal ltd q2 falls 47 2 per cent,-1
3091,carborundum universal q1 down 25 at rs 28 78 crore,-1
3092,carborundum universal q3 up 87 3 at rs 11 22 crore,1
3093,carborundum universal q3 profit up 87 3 pc at rs 11 22 crore,1
3094,carborundum universal posts rs 49 cr q4 profit,0
3095,cardamom declines 0 60 in futures trade on low spot demand,-1
3096,cardamom futures decline 0 47 on sluggish demand,-1
3097,cardamom futures decline 0 53 on subdued demand,-1
3098,cardamom futures decline 0 58 per cent on profit booking,-1
3099,cardamom futures decline 0 71 per cent on profit booking,-1
3100,cardamom futures decline 1 01 per cent on subdued demand,-1
3101,cardamom futures down 0 33 on profit booking,-1
3102,cardamom futures down on low demand higher arrivals,-1
3103,cardamom futures down on weak demand,-1
3104,cardamom futures extend losses on adequate stocks,-1
3105,cardamom futures extend losses on sluggish demand,-1
3106,cardamom futures extend losses down 0 55 on adequate stocks,-1
3107,cardamom futures extend losses down 1 05 per cent on sluggish demand,-1
3108,cardamom futures extend weakness on sluggish demand,-1
3109,cardamom futures fall 0 40 on sluggish demand,-1
3110,cardamom futures fall 0 42 per cent on profit booking,-1
3111,cardamom futures fall 0 46 on profit booking,-1
3112,cardamom futures fall 0 50 pc on profit booking,-1
3113,cardamom futures fall 0 77 per cent on profit booking,-1
3114,cardamom futures fall 0 92 per cent on sluggish demand,-1
3115,cardamom futures rise 0 56 on spot demand tight supply,1
3116,cardamom prices soften 0 34 on profit booking,-1
3117,cardona slowed her vehicle turned around and returned to the intersection where she called 911,0
3118,care ends 8 down as share sale bids rejected,-1
3119,care reports flat in q3,0
3120,career point erases gains falls 1 54 pc on bse,-1
3121,career point is a great company avinash gorakshekar anagram capital ltd,1
3122,cargo traffic fell 1 year on year to 8 561 tonnes in september 2009,-1
3123,cargo traffic fell 1 year on year to 8 561 tonnes in september 2009,0
3124,cargo volume grew by 7,1
3125,cargo volume increased by approximately 5,1
3126,cargotec s brands hiab kalmar and macgregor are global market leaders in their fields and their solutions are used on land and at sea wherever cargo is on the move,0
3127,cargotec s business areas also include the container handling solutions business area kalmar and the marine cargo handling and offshore load handling solutions business area macgregor,0
3128,cargotec s sales totalled eur 3 4 billion in 2008 and it employs approximately 10 500 people,0
3129,cargotec s sales totalled eur 3 4 billion in 2008 and it employs approximately 11 000 people,0
3130,cargotec s share capital after the increase totals 64 046 460 euros,0
3131,cargotec s share capital after the increase totals eur 64 299 180,0
3132,cargotec corporation press release april 28 2008 at 2 00 p m finnish time cargotec s macgregor business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers,1
3133,cargotec corporation press release august 26 2008 at 10 a m finnish time cargotec s macgregor business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order,1
3134,cargotec germany gmbh has been awarded a contract by stadtverwaltung mainz for chassis bodies under open procedure,1
3135,cargotec will also move hallberg ivarsson s service and installation business under the same roof with its service center for kalmar and macgregor solutions in gothenburg,0
3136,carl icahn says his firm sold remainder of netflix stake,-1
3137,carl icahn says his firm sold remainder of netflix stake,0
3138,carnival corporation and china merchants group sign memo of understanding,1
3139,cash flow from operations for the most recent quarter also reached a eight year low,-1
3140,cash flow from operations for the most recent quarter also reached a eight year low,0
3141,cash flow after investments amounted to eur45m down from eur46m,-1
3142,cash flow after investments amounted to eur45m down from eur46m,0
3143,cash flow from business operations totalled eur 0 4 mn compared to a negative eur 15 5 mn in the first half of 2008,1
3144,cash flow from operating activities is estimated to be positive,1
3145,cash flow from operations in january december 2008 was a negative eur 18 1 mn compared to eur 39 0 mn in the corresponding period in 2007,-1
3146,cash flow from operations in january december 2008 was a negative eur 18 1 mn compared to eur 39 0 mn in the corresponding period in 2007,0
3147,cash flow from operations rose to eur 52 7 mn from eur 15 6 mn in 2007,1
3148,cash flow from operations totalled eur 2 71 mn compared to a negative eur 0 83 mn in the corresponding period in 2008,1
3149,cash flow from operations totalled eur 7 4 mn compared to a negative eur 68 6 mn in the second quarter of 2008,1
3150,cash rates stabilise after rbi s msf auction,0
3151,cashew prices decline on subdued demand,-1
3152,cashew prices decline on subdued demand,-1
3153,cashew prices rise on fresh buying,1
3154,casinos red before the bell lvs 0 75 wynn 0 47 wynn 0 47 unusual comibinations of what s running what s red before the bell,-1
3155,castecka said the town hall would hold talks with other investors interested in the zone,0
3156,castex clarification lifts amtek auto shares ends 6 higher,1
3157,castor seed future up on fresh buying,1
3158,castor seed futures decline on weak demand,-1
3159,castor seed futures fall on profit booking,-1
3160,castor seed futures up rs 78 on spot demand,1
3161,castor seed prices drop in futures trade,-1
3162,castorseed futures recover on short covering,1
3163,castorseed futures rise on fresh buying,1
3164,castorseed futures slip 1 54 on weakening trend,-1
3165,castorseed futures slip 2 41 per cent to rs 4 204 per quintal,-1
3166,castorseed futures up on short covering,1
3167,castrol india profit grows 46 on lower expenses,1
3168,castrol india shares surge 9 on bourses,1
3169,castrol q4 up 7 to rs 126 crore,1
3170,catalysts segment includes refinery catalysts and polyolefin catalysts product categories,0
3171,catamarans investment in sks was to help poor,0
3172,catch the glow of gold,0
3173,catch up game bse mid cap index trails bigger peers,1
3174,cathay forest s strategy is to develop sustainable regenerative forest assets,0
3175,catholic syrian bank files for up to 64 mn ipo,0
3176,catholic syrian bank to file for 80 mn ipo in april sources,0
3177,caustic soda declines on reduced offtake,-1
3178,caustic soda prices decline on reduced offtake,-1
3179,caustic soda prices rise on industrial demand,1
3180,caustic soda rises on industrial demand,1
3181,caustic soda rises on tight supply,1
3182,caustic soda rises on tight supply,1
3183,caution advisable in auto stocks dilip bhat,-1
3184,caution advised for tata elxsi at current levels sudip bandyopadhyay,-1
3185,caution required on agri stocks dipan mehta,-1
3186,cautious even at current levels on omcs ing investment management,0
3187,cautious on abb gaurav mehta,-1
3188,cautious on it stocks bullish on banking arindam ghosh blackridge capital advisors,1
3189,cautious on ongc avinash gorakshekar,-1
3190,cautious on four wheeler stocks including maruti suzuki iv subramaniam,-1
3191,cautious on metal stocks iv subramaniam,-1
3192,cautious on two wheeler space david pezarkar,-1
3193,ceat q3 profit surges three fold to rs 67 crore,1
3194,ceat q4 down 3 86 per cent at rs 62 42 crore,-1
3195,ceat drops by over 6 pc on bse after disappointing fy11 nos,-1
3196,ceat fairly priced at the current levels nitin raheja,0
3197,ceat shares up over 4 after workers call off strike,1
3198,ceat bajaj finance to get on to f o turf from may 29,0
3199,cement companies rally on holcim lafarge merger,1
3200,cement companies to benefit from peak construction season strong demand,1
3201,cement companies try to crack capacity utilisation code,0
3202,cement consumption unlikely to increase in near term prateek agarwal ask investment managers,-1
3203,cement cos weak demand high input cost may derail rally,-1
3204,cement got its quota of allocation sudip bandyopadhyay,0
3205,cement may attract some buying deepak mohoni,1
3206,cement sector eyes comeback buy ultratech with a target of rs 3 282,1
3207,cement sector has good scope for appreciation in long term amisha vora,1
3208,cement sector may attract institutional investors on likely uptick in utilisation rate roe girish pai,1
3209,cement shares fall after freight rate hike,-1
3210,cement stocks are likely to go up higher vijay bhambwani,1
3211,cement stocks bearish vinith jain siddh capital,-1
3212,cencorp s sales in the first quarter is estimated to be eur0 9 1 2 m as compared to eur4 5 m in the first quarter 2008,-1
3213,cencorp s sales in the first quarter is estimated to be eur0 9 1 2 m as compared to eur4 5 m in the first quarter 2008,0
3214,cencorp headquartered in virkkala finland develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity,0
3215,cencorp estimates that its sales in the last quarter will be as earlier stated eur4 3 m to eur5 0 m and operating profit ebit is estimated to be positive,1
3216,cencorp would focus on the development manufacture and marketing of standard products for production automation,0
3217,central bank december qtr falls 65 to rs 62 crore,-1
3218,central bank october december declines 66 to rs 62 crore,-1
3219,central bank of india q3 dips 13,-1
3220,central bank of india extends poor show falls 4 in q4,-1
3221,central bank of india housing finance subsidiary eyes ipo,0
3222,central bank of india raises rs 500 crore through bond offer,1
3223,central bank sells entire stake in cibil to transunion,0
3224,central depository services plans rs 400 crore ipo,0
3225,central europe is an important market area for honka,0
3226,central bank should resume fx purchases if dollar falls below 60 to rouble kremlin aide,-1
3227,centralised online system for investor grievances sebi,0
3228,centre asks rubber industry to work out details of national rubber policy,0
3229,centre for more power to sebi regulator to get power of search seizure and recovery,0
3230,centre seeks more time to pass ftil nsel final merger order,0
3231,centre to step on the gas to meet rs 1 62 lakh crore asset monetisation targetrepresentative imagethe government is looking to speed up work to achieve its ambitious target to raise â‚¹1 62 lakh crore through asset monetisation in fy23 cabinet secretary rajiv gauba has called a meeting on friday of secretaries from 12 key ministries to discuss their detailed roadmap with clear timelines for monetising assets such as power lines gas pipelines roads and railway assets among others the meeting will also seek an explanation from the ministries that missed the fy22 monetisation target people with knowledge of the matter told et officials from the ministries of petroleum and natural gas telecommunication railways ports shipping and waterways civil aviation power coal mines road transport and highways tourism sports and food and public distribution are likely to attend the meeting finance ministry officials will also be present at the meeting this year the target is high while this is achievable the mandate is to start working early on the monetisation plan said an official detailed presentations all the ministries have been asked to come up with detailed presentations on the future roadmap regarding asset monetisation with clear deadlines the official said the cabinet secretary will also review the performance of all ministries in the last fiscal against the target of rs 88 190 crore for fy22 the government monetised assets worth rs 96 000 crore while coal and mining sector and even highways did well some ministries like railways warehousing and telecom have not done well said the official so they are required to enhance their efforts earlier this month finance minister nirmala sitharaman had reviewed the implementation of the national monetisation pipeline nmp along with the niti aayog which had been tasked to help ministries in identifying assets the nmp was announced in august 2021 by sitharaman to unlock value in infrastructure assets across sectors in brownfield projects by engaging private sector participants or transferring to them revenue rights for a fixed period cabinet secretary rajiv gauba has called a meeting on friday of secretaries from 12 key ministries to discuss their detailed roadmap with clear timelines for monetising assets such as power lines gas pipelines roads and railway assets among others,1
3232,centre states gear up for moil offer,0
3233,centrica extends gas deals with gazprom statoil,1
3234,centum learning gets funds from mayfield,1
3235,century ultratech deal would be a win win situation for both companies if it materialises p phani sekhar,1
3236,century plyboards reports higher profit and revenue,1
3237,century plyboards to build on stronger rupee housing demand,1
3238,century textiles industries ltd reports loss of rs 4 90 crore in fourth quarter of fy 14,0
3239,century textiles posts rs 1 58 crore profit in q3,0
3240,century textiles rallies on board rejig restructuring of cement paper biz reports,1
3241,cera sanitaryware q3 up 50 18 at rs 16 16 crore,1
3242,cerberus capital management lp backed printing paper maker newpage corp has posted mixed second quarter results casting a cloud over its planned initial public offering,-1
3243,cerberus capital management lp backed printing paper maker newpage corp has posted mixed second quarter results casting a cloud over its planned initial public offering,0
3244,cerebra snaps winning streak as traders corner,0
3245,certain shareholders have irrevocably agreed to vote in favor of the bond issue,1
3246,cess may impact eps of oil india ongc cairn prabhudas lilladher,-1
3247,challenging for companies to raise money you k sinha sebi chairman,0
3248,chambal fertilisers q1 up by 47 per cent at rs 112 98 crore,1
3249,chambal fertilisers q3 profit down 6 to rs 90 28 crorepti,-1
3250,chambal fertilisers and chemicals q1 profit up 21,1
3251,chambal fertilisers may slide to 68 69 levels mitesh thacker,-1
3252,chana falls 0 25 on increased supply,-1
3253,chana futures decline 0 25 per cent on increased supplies,-1
3254,chana futures down 0 89 on higher supply,-1
3255,chana futures down on profit booking,-1
3256,chana futures extend gains on rising demand,1
3257,chana futures extend losses on sluggish demand,-1
3258,chana futures extend losses down 0 59,-1
3259,chana futures soften 0 31 on weak demand,-1
3260,chana price rises by 0 38 per cent as demand picks up,1
3261,chances are that nifty will go towards 8650 8700 ashwani gujral,0
3262,chances of a pullback likely on nifty in near term mitesh thacker,-1
3263,chandan deep singh dang appointed as chief marketing officer of tupperware india,0
3264,chandrakala padia to be iias first woman chairperson,0
3265,changes being announced today will be effective after the close of trading on friday june 19 2009,0
3266,changes in fundamentals makes tata motors sustainable prakash diwan,1
3267,changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant according to the company,-1
3268,changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant according to the company,0
3269,changes to the as built models from the design were communicated to the subcontractors to accommodate them into the steel and grc fabrication process,0
3270,changes to the as built models from the design were communicated to the subcontractors to accommodate them into the steel and grc glass reinforced concrete fabrication process,0
3271,chargers manufactured under the new platform are suitable for mobile phones navigators digital cameras bluetooth head sets media players and other electronic devices,0
3272,chart check from angel broking for friday march 02 colgate palmolive m m,0
3273,chart check from angel broking for tuesday march 06 asian paints educomp solutions,0
3274,chart check from angel broking for tuesday march 20 glaxo arvind,0
3275,chart check from angel broking for tuesday march 27 ivrcl united spirits,0
3276,chart check from emkay global for friday march 23 icici bank tata steel,0
3277,chart check from gepl capital for wednesday march 07 mmtc dcb,0
3278,chart check from gepl capital for wednesday march 28 wockhardt suzlon,0
3279,chart check from iifl private wealth for monday march 19 idea ranbaxy,0
3280,chart check from iifl private wealth for tuesday march 13 titan industries yes bank,0
3281,chart check indusind bank forms head shoulder pattern short for rs 650 target in 1 2 months says kapil shahagenciesindusind bank part of the private sector banking space has fallen over 30 per cent from its october 2021 highs firmly placing the stock in a bear grip and chart patterns suggest that the pressure is likely to continue the stock with a market capitalisation of more than rs 63 000 crore hit a 52 week high of rs 1241 on 28 october 2021 but failed to hold on to the momentum it closed at rs 806 on 24 june 2022 which translates into a downside of over 35 per cent the private sector bank broke below the crucial support above the rs 800 levels earlier in the month of june 2022 and formed a head shoulder type of pattern on the weekly charts etmarkets smart talk indiaâ€™s investable landscape wider than other ems despite premium valuations piyush sharma head and shoulders is one of the many popular chart patterns widely used by investors and traders to determine market trend this pattern occurs on the chart when the stock index price hits its peak and declines thereafter also read https economictimes indiatimes definition head and shoulders the stock broke below the neckline of the pattern earlier in june 2022 but stock price action seen in the last few sessions pushed the price above rs 800 after hitting a 52 week low of rs 763 on 23 june 2022 but chart structure still remains weak and the short term traders can look for shorting opportunities in the stock for a target of rs 650 on the downside suggest experts image 1 agencies on the price front the stock is trading below 20 30 50 100 and 200 dma but above 5 and 10 dma macd is below its signal and center line this is a strong bearish indicator the relative strength index rsi is at 36 4 rsi below 30 is considered oversold and above 70 is considered overbought trendlyne data showed from higher time frame to lower time frame indusind bankâ€™s stock chart structure harps on the same string and tilts towards negative development â€œstock is reacting from the quarterly chart resistance band and its ripple effect can be seen on the lower time frame chart on the weekly chart stocks have formed a head shoulder pattern for the duration of 82 weeks â€ kapil shah technical analyst emkay global financial services limited and trainer at finlearn academy said â€œpatterns that take a larger time to form are considered to be more powerful in an ongoing week stock has breached the neckline or support line which confirms the negative implication of the pattern â€ he added from the oscillator perspective macd has given a negative crossover in the negative zone which is a bearish continuation sign based on the above rationale the stock offers a short opportunity in the zone of rs 787 to rs 800 with stop loss at rs 835 level on a closing basis recommends shah â€œon the downside stock has immediate support at the rs 650 level with this setup stock offers a risk reward ratio of 1 3 and the duration of this view can be around 1 to 2 months â€ he added disclaimer recommendations suggestions views and opinions given by the experts are their own these do not represent the views of economic times the stock with a market capitalisation of more than rs 63 000 crore hit a 52 week high of rs 1241 on 28 october 2021 but failed to hold on to the momentum it closed at rs 806 on 24 june 2022 which translates into a downside of over 35 per cent,-1
3282,charting technicals investors can expect a multi year bull run in wipro,1
3283,chasing moving targets sebi to upgrade surveillance systems,0
3284,cheap imports key concern for tyre makers sachin shah,-1
3285,cheap valuations of public sector banks buy or no buy,0
3286,cheaper inputs help but weak demand a drag on asian paints,0
3287,cheaper raw materials lift india inc margins for june quarter,1
3288,check out experts recommendations on infra stocks,0
3289,chemical company basf india q1 profit up by 36,1
3290,chennai petro cracks 15 after posting losses in q2,-1
3291,chennai petro extends rally post q1 results capex plans stock surges,1
3292,chennai petro surges over 35 in two day on high volumes,1
3293,chennai petroleum corporation ltd reports rs 510 11 crore q1 profit,0
3294,chennai petroleum q2 profit soars 2 fold to rs 120 34 crore,1
3295,chennai petroleum profit jumps over seven fold at rs 364 crore for fourth quarter,1
3296,chennai petroleum shuts refinery due to flooding shares down,-1
3297,chettinad cement promoters hike stake to 94 48,1
3298,chic and cheerful finnish design house marimekko has been sending its geometric textiles out into the world for the past 60 years,0
3299,chief financial officer jim heindlmeyer said beyond oblivion is in advanced talks with the four major recording companies about its service,0
3300,chief executive officer olli pekka kallasvuo s changes on tuesday mark the third time in nine months the company has reshuffled executives and operations as nokia loses ground to apple s iphone and rim s blackberry,-1
3301,chief executive officer olli pekka kallasvuo s changes on tuesday mark the third time in nine months the company has reshuffled executives and operations as nokia loses ground to apple s iphone and rim s blackberry,0
3302,chill on street continues sensex slips 93 points infosys shines,1
3303,chilli futures decline 0 58 on adequate supply,-1
3304,chilli futures down 1 53 pc on higher output hopes,-1
3305,chilli futures fall 1 54 pc on sluggish demand,-1
3306,chilli futures gain 1 70 pc as demand picks up,1
3307,chilli futures up by 0 31 per cent on rising demand,1
3308,chilli futures weaken 1 55 pc on profit booking,-1
3309,chilli teja futures climb 3 60 percent on spot demand,1
3310,chilli teja futures down 1 55 per cent on muted spot demand,-1
3311,chilli teja futures hit lower circuit plunges 4,-1
3312,chilli teja futures surge 3 25 per cent on strong demand,1
3313,chilli coriander fall on sluggish demand,-1
3314,chilli jeera rise on increased buying,1
3315,chilli turmeric prices decline on subdued demand,-1
3316,chilli turmeric prices rise on fresh buying,-1
3317,chilli turmeric prices weaken on subdued demand,-1
3318,chilli turmeric recover on fresh buying,1
3319,chime communications set to be acquired by wpp and providence,1
3320,china agricultural bank sells 1 billion debut green bond in london,-1
3321,china overseas land braves market with euro bonds,0
3322,china unicom nyse chu hkse 0762 and shse 600050 the second largest mobile carrier in the country,0
3323,china yuan edges lower on dollar demand for dividend payments,1
3324,china and asia on shaky ground as factories step back in july,0
3325,china appoints bank of china as yuan clearing bank in paris,0
3326,china central bank seen ready to intervene again if offshore pushes yuan too far,0
3327,china data pushes brent to 106 55 per barrel,1
3328,china eyes gold market clout with new exchange,0
3329,china funds raise equity allocations as buy in opportunities rise,0
3330,china keeps investors on edge is it 2008 again,0
3331,china markets calm in thin trade,0
3332,china promises to make currency yuan freely traded by 2020,0
3333,china sets stage for opening commodity futures to foreign investors,0
3334,china shares down in morning trade,-1
3335,china shares edge lower on supply concerns hong kong weaker,-1
3336,china shares end at 7 1 2 month high finance coal firms rise,1
3337,china shares end down as investors stay cautious,-1
3338,china shares in april post biggest monthly rise for the year,1
3339,china shares post biggest daily loss in six months on economy liquidity worries,-1
3340,china shares recoup losses on power producers carmakers,-1
3341,china shares slip ahead of july economic data hong kong sags too,-1
3342,china shares snap 3 weeks of gains banks drag,-1
3343,china slaps restrictions on 7 securities and futures institutions,0
3344,china state owned margin finance corp says to ensure market stability,0
3345,china stock markets steady after c bank pledges flexible policy,0
3346,china stock offers to resume next week companies,0
3347,china stocks close at biggest fall in two weeks,-1
3348,china stocks close mixed ahead of connector launch,0
3349,china stocks drop as yuan falls further airlines property in the crosshairs,-1
3350,china stocks end firmer as investors switch into tech from property,0
3351,china stocks end mixed after one child policy reform,0
3352,china stocks fall as investors cool on blue chips margin trading hong kong also down,-1
3353,china stocks jump other asian markets await fed minutes,1
3354,china stocks mixed as investors hold back before sh hk connect launch,0
3355,china stocks after wild ride reverse course and close higher,1
3356,china to launch stock index circuit breaker early next year caixin,0
3357,china to let banks with offshore yuan business do domestic repos,0
3358,china to open up futures market to foreign investors via free trade zones csrc,0
3359,china to permit cross border stock trading with hk,0
3360,china to start yuan trading on tuesday,0
3361,china to test longer onshore yuan trading hours dec 23 30 sources,0
3362,china yuan almost unchanged after moving in narrow range,0
3363,china yuan eases loses 0 1 per cent on week,-1
3364,china yuan edges down on weak midpoint and fdi data,-1
3365,china yuan falls to two month lows as central bank sets weaker midpoint,-1
3366,china yuan falls seen remaining weak in the near term,-1
3367,china yuan flat after c bank slightly softens guidance,0
3368,china yuan flat despite a two month low midpoint,0
3369,china yuan hits 4 1 2 month high spot rate set to cross midpoint,-1
3370,china yuan holds steady as corporates cling to dollar,0
3371,china yuan inches lower on corporate dollar demand little changed on week,-1
3372,china yuan pinned steady by central bank guidance,0
3373,china yuan remains nearly flat as ruling party meeting opens,0
3374,china yuan retreats from near 5 month high versus us dollar,-1
3375,china yuan rises despite daily midpoint fix at 3 month low,1
3376,china yuan rises for the 5th day despite weaker fixing,1
3377,china yuan rises to 2 week high outlook brightens,1
3378,china yuan seen to play a bigger role as funding currency,0
3379,china yuan sees respite from recent bruising,0
3380,china yuan set for biggest weekly loss in two months,-1
3381,china yuan set to show biggest advance in 6 weeks,1
3382,china yuan slips as pboc signals range bound trading,-1
3383,china yuan slips in 2014 first major decline since 2005 revaluation,-1
3384,china yuan slips vs dollar after another weaker midpoint fixed,-1
3385,china yuan slips seen rangebound in short term,-1
3386,china yuan snaps 6 day gaining streak on weak pmi midpoint,0
3387,china yuan steady on flat midpoint fix comments by forex regulator,0
3388,china yuan steady better than expected pmi survey has no impact,0
3389,china yuan trades flat after us currency report,0
3390,china s cicc investment bank set to open up in hk debut,0
3391,china s stock rally is now a lifeline for asian portfoliosptichinese stocks outstanding resilience in a global selloff is giving asia investors hopes that regional equities will get a lift in the second half in a brutal month that s seen the world s major stock indexes tumble into bear markets chinese shares have jumped their high weighting has helped put the asian benchmark on track to beat a global gauge by the most since october 2020 this month china s all out efforts to revive the economy in contrast to aggressive monetary tightening in the us and elsewhere is also supporting the earnings outlook for the region it s very likely that china stocks will help asia outperform given that china s stimulus effect will be more pronounced in the second half said kerry goh chief investment officer at kamet capital economically asia is more dependent on china than the rest of the world equities in china and hong kong account for about a quarter of the msci asia pacific index which has outperformed an index of global stocks by almost five percentage points over the past month china s csi 300 index has jumped 7 6 in the period rebounding from sharp losses earlier this year driving gains in china are loose monetary policy a partial lifting of virus curbs and bets that the era of tech crackdowns is over even with covid headwinds a majority of analysts still expect china s economy to grow more than 4 this year versus 2 6 for the us which will offer tailwinds to asia where most countries list china as their largest trade partner the us is at the epicenter of monetary tightening but china asia s largest market is in a different point in its cycle and is currently easing policy strategists including tim moe wrote in a note earlier this month it s very likely that china stocks will help asia outperform given that china s stimulus effect will be more pronounced in the second half said kerry goh chief investment officer at kamet capital economically asia is more dependent on china than the rest of the world,1
3392,china s yuan edges up on pboc guidance,1
3393,china east asian stocks to extend rally on pbc s easing poll,1
3394,china eurozone tremors shake indian blue chips domestic worries spark fears of fiis exit,-1
3395,china hong kong shares slide as bank and casino stocks retreat,-1
3396,china hong kong stocks calm as focus returns to economy,0
3397,china hong kong stocks lower on weaker yuan fosun uncertainty,-1
3398,china hong kong stocks rise as fears of near term you s rate hike recede,1
3399,china hong kong stocks rise banks surge on local govt debt scheme,1
3400,china india gold demand posts double digit drop in q1 wgc,1
3401,chinas xiaomi hires jabong founder manu jain to head india operations,0
3402,chinese corporate bond market calm despite default by chaori solar,0
3403,chinese developers to suffer little from yuan devaluation s p,0
3404,chinese firm new crystal material holdings appeals against taiwan regulators over ipo,0
3405,chinese insurers banned from demanding repayment from brokerages ahead of deadline,-1
3406,chinese markets bounce back over 6 on attempts to stem rout state intervention to weigh,1
3407,chinese shares reverse gains to end down rail sector slumps,-1
3408,chinese stocks hit fresh 7 year high despite rush of ipos,1
3409,chinese stocks vs reality shares are untethered to economy,0
3410,chinese yuan nearly flat after apec summit,0
3411,chinese yuan s winning streak broken by swiss central bank move,0
