Sentence,Sentiment
aviation systems maintenance is based in kansas and generated sales of usd 2 6 million for 2008,0
aviation shares up as rbi extends ecb borrowing window,1
aviation stock returns rise post spicejet deal,1
aviation stocks plunge as rupee tanks to all time low,-1
aviation turbine fuel dollar hits where it hurts the most,-1
aviation retail shares likely to attract more demand experts,1
aviva fined 27 million by you k regulator over fee failings,-1
aviva promises higher dividends to boost flagging share price,1
aviva shuts friends life head office in rapid integration move,0
aviva stake buyers walk out of negotiations over valuations,-1
aviva to raise stake in indian joint venture to 49 per cent over an attractive local market,1
aviva weighs cash handout after beating profit forecast,1
aviva friends life top forecasts ahead of 5 6 billion pound merger,1
aviva m g suspend property funds as investors panic,-1
avoid infrastructure stocks until the problems are solved p phani sekhar,-1
avoid ipca on management and us fda issues kunj bansal,-1
avoid jubilant foodworks in near future gaurav mehta,-1
avoid psu banks worst is over but stocks will take time to pick up mehraboon irani,-1
avoid psu oil gas space altogether mehraboon irani nirmal bang securities,-1
avoid reliance power prakash diwan asit c mehta investment intermediates ltd,-1
avoid sks microfinance ashwani gujral,-1
avoid tech mahindra sandeep wagle aptart technical advisory services,-1
avoid bank stocks prateek agarwal ask investment managers,-1
avoid buying jspl and dlf due to uncertainity mehraboon irani nirmal bang securities,-1
avoid buying jspl as power sector unlikely to do well p phani sekhar,-1
avoid getting into justdial even as the stock continues to fall ashwani gujral,-1
avoid metals until clarity on coal block allocation analysts,-1
avoid over exposure to it and pharma stocks post elections kunj bansal,1
avoid sugar stocks as too many people are stuck sajiv dhawan jv capital services,-1
avoid sugar stocks go for frontline stocks jagannadham thunuguntla,1
avoid taking risks in pharma sector nitin raheja,-1
avoid prestige estates projects ipo says kr choksey,-1
avon india appoints r m sirbu managing director,0
axeon appoints ex peugeot india boss rajesh nellore,0
axis bank q1 rises 18 per cent in first quarter,1
axis bank foreign shareholding crosses 49 per cent limit,0
axis bank is heading to levels closer to 1595 prakash gaba,1
axis bank slips over 3 as suuti plans to offload 9 stake,-1
axis bank infosys coal india among hot stock picks banking sector to stand out et poll,1
axis securities elevates arun thukral as md and ceo,0
axis kotak mahindra bank look good bets with 6 12 months view further downside unlikely rajat sharma,1
azim premji trust to sell 1 530 crore wipro shares to fund education,0
bae systems names john brosnan as new india managing director,0
bae systems s sales boosted by european typhoon and currencies,1
basf india q4 profit up 67 pc at rs 13 32 cr,1
basf india new plant boosts valuation,1
basf stocks gain 76 in three months but earnings need to grow to match valuations,1
bavaria industriekapital ag s 2006 revenues were eur 333 million with an ebitda of eur 51 million,0
bawag is to issue a benchmark covered deal,0
bbcn bancorp to buy wilshire bancorp in 1 bln deal,1
bel available with decent valuation of about 15 16 times hemang jani,1
bel is a decent bet from the defence space based on an impressive order book neeraj deewan quantum securities,1
beml q3 dips 21 pc to rs 46 cr,-1
beml falls 5 as q1 loss widens,-1
beml will go as low as 540 ashwani gujral,-1
bg ad bulgaria s leading internet company,1
bg crane has a strong customer base in the on road load handling and related installation and service businesses,0
bg group still happy with she will s 70 billion offer,1
bg group appoints new ceo one month early,0
bg group s shares soar more than 40 on she will deal,1
bgr energy systems reports 100 per cent growth on pat,1
bgr energy can test 370 levels mitesh thacker,0
bgr energy is a short sale deepak mohini,-1
bgr energy rises 60 pc to rs 323 cr in fy11,1
bgr energy margin pressure high working capital need may keep in a tight spot,-1
bhel q2 up 33 pc to rs 1 142 cr shares up,1
bhel a safe bet for investors having 6 12 months horizon gajendra nagpal unicon financial solutions,1
bhel falls hsbc downgrades to reduce,-1
bhel is a buy deepak mohoni,1
bhel is a buy hemang jani sharekhan,1
bhel may stay under pressure on weak fundamentals looming disinvestment anand tandon,-1
bhel plunges over 4 as q2 results disappoints,-1
bhel rallies on strong order book rises 10 in two days,1
bhel surges 52 in 12 sessions why investors should be wary of buying the stock,1
bhel s run up on bourses amid the slump is probably overdone,-1
bhel adani ports among six companies that hit their 52 week lows today,1
bhel crompton look strongest in capital goods pack deepak mohoni,1
bhel l t reliance cipla all gaining strongly in control sandeep wagle,1
bhel ntpc look value buys but significant upsides unlikely hemang jani,1
bhel sail divestment to help govt raise rs 8 000 crore,0
bhel good show in fy13 but far from best,0
bhp billiton drags ftse lower after slashing dividend,-1
bhp billiton posts big loss slashes dividend,-1
bhp billiton share price brazil to sue samarco for â£3 5bn,-1
bhp billiton slashes dividend posts 5 67 billion loss,-1
bhpv turnover jumps 56 at rs 244 crore in fy13,1
bilt vs tn newsprint do paper stocks offer reasonable returns,0
bjp manifesto fails to lift street sensex records triple digit cut,-1
bjp s attack on robert vadra hurts dlf stock falls 12 in 3 days,-1
bk birla group shares gain on revamp hopes,1
bm4 middle layer headbox will be equipped with a dilution control system,0
bnp paribas buys 15 lakh karnataka bank shares for rs 17 cr,1
bnp paribas buys mahindra holidays shares for rs 20 3 crore,1
bnp paribas fine shows dollar key role in global markets,0
bnp paribas launches first equity index linked green bond,0
bnp paribas to buy belgian government stake in fortis unit,0
bnp paribas to suspend some us dollar clearing for one year new york regulator,-1
bnp paribas upgrades india to overweight sees sensex hitting 24k by end 2014,1
boc india delisting plan fails stock down,-1
boc india hits 20 upper circuit on delisting plans,1
boc india poised for rs 50 60 upmove bharat gala ventura securities,1
boc india soars 20 pc on delist offer,1
boc delisting plan fails as company misses buyout target,-1
bp joins forces with det norske in norway,1
bp lifts britain s ftse towards 4 1 2 month high,1
bp shares in focus after us doubles spill estimate,-1
bp shares plunge us threatens new penalties,-1
bp statoil to withdraw staff from algeria following rocket attack,-1
bpcl and ioc look good ashish maheshwari globe capital market ltd,1
bpcl can be bought on all declines ashwani gujral market strategist,1
bpcl falls over 3 refining below expectations,-1
bpcl hires four banks for us dollar bond offering,0
bpcl is a good long term investment deepak mohoni,1
bpcl is the best bet among the oil marketing stocks gaurang shah,1
bpcl s subsidiary strikes gas in mozambique stock up,1
bpcl hpcl gain as rupee continue to appreciate,1
bpcl hpcl good for selling devang visaria devangvisaria,-1
bpcl hpcl in red on fuel price cut rise in global prices,-1
bpcl hpcl not a good buy at this juncture ashwani gujral,-1
bpcl hpcl on declines look like a good bet mayuresh joshi angel broking,1
bpcl ioc hpcl pare intraday gains after morning rally,0
bpi says caixabank isabel dos santos reach agreement over angola exposure,1
bpo hinduja global q1 revenue rises but profit halves,1
brfl is a good buy sandeep wagle,1
bric issuers raise 374 5 billion through debt securities dealogic,0
bric markets appear disunited to stock investors,0
brief aviva aims to increase dividend pay out ratio to 50 pct in 2017,1
brief legal general s retirement business books 4 billion stg h1 sales,1
bs transcomm ipo looks costlier than peers nirmal bang,0
bs transcomm debuts at rs 257 share on nse,0
bs transcomm debuts soars over 22 in early trade on nse,1
bse metal index pares losses as rajya sabha passes mmdr bill,1
bse sensex flirts with 25 000 levels top eleven stocks in focus,0
bse sensex may touch 23 500 level by year end rbs,0
bse sensex rangebound nifty holds 7600 levels,0
bse sensex to hit 32 980 by december 2015 poll,0
bse star mf processes over 50 000 orders on a single day,0
bse and nse announce trading holiday on april 24,0
bse asks brokers to remit excess stt to government,0
bse brokers wary discount broking model among investors lobbying with sebi to fix a minimum brokerage,0
bse currency derivatives turnover crosses rs 2 000 cr mark,1
bse currency derivatives turnover tops rs 4 000 crore,0
bse currency derivatives volume at rs 2 000 cr mark,0
bse expects 30 sme ipos in next 2 3 months,0
bse expels parsoli corp as trading member,-1
bse eyes trading speed of 20 microseconds in three years,0
bse gets an earful from sat for denying payment to broker,-1
bse increases annual listing fee for companies,0
bse increases lot size of foreign index derivatives contracts,0
bse inks strategic partnership with yes bank,0
bse issues guidance note on price sensitive disclosures,0
bse launches institutional trading platform on bse sme,0
bse midcap index hits all time high,1
bse opens investor centres at lucknow vadodara and patna,0
bse plans foray into commodity trading board gives nod for new platform,0
bse plans international exchange in gujarat commodity bourse,0
bse resumes trading after tech glitch top 20 trading ideas,0
bse resumes trading post tech glitch traders arbitragers hit most,0
bse revises circuit limit for 405 stocks,0
bse revises equity transaction charges,0
bse sets circuit limit of 10 for united breweries scrip,0
bse shareholders approve merger with united stock exchange,0
bse shelves plans for separate commodity bourse,0
bse shuts down nifty off highs top ten stocks in focus,0
bse slumps 2 per cent as rupee weakens amid global rout,-1
bse small and midcap stocks shine over 100 stocks hit fresh 52 week high on bse,1
bse to auction government bonds worth rs 3 208 crore on thursday,0
bse to auction government bonds worth rs 4 176 crore tomorrow,0
bse to auction investment limits for rs 332 crore government bonds,0
bse to auction investment limits for rs 5 500 crore government bonds,0
bse to auction investment limits for rs 561 crore government bonds,0
bse to auction unused government bonds limit to foreign investors,0
bse to begin charging for currency derivatives trade,0
bse to foray into commodities trading with new platform,0
bse to include arvind ltd in s p bse 200,1
bse to introduce new group w from friday,0
bse to launch irf trading from january 20,0
bse to shift 21 cos to restricted trade segment from february 23,0
bse to take appropriate action on sebi order in nmdc case,0
bse tweaks minimum base capital rules for brokers,0
bse writes to sebi on nse unfair trade practices,0
bse nse among top five emerging market bourses sebi,1
bse nse clear merger of two units with sesa sterlite,0
bse nse to move 25 companies to restricted trade segment from october 7,0
bse nse to remain closed on account of maharashtra day,0
bse nse to shift kingfisher airlines moser baer to restricted group,-1
bse nse to shift scrips to restricted group from november 29,0
bse nse to shift scrips to restricted segment on wednesday,0
bse nse to shift two ub group firms to restricted trade segment,0
bse nse to suspend share trading of non compliant companies,0
bse s p to launch allcap index for indian markets,0
bsnl ipo may happen next fiscal disinvestment secretary,0
bsnl reports operating profit of rs 672 crore for fy15,1
bt st sbi with a target of rs 2560 mitesh thacker,1
bt st call for welspun corp ashwani gujral,1
bullish engulfing of coca cola http stks fyco ko,1
buy voltas ltd with a target of rs 365 ashwani gujral,1
baba ramdev s patanjali bigger than emami and jyothy labs wish it was listed clsa report,-1
back then tikkurila s former owner finnish chemicals company kemira oyj hel kra1v distributed an 86 stake to kemira shareholders to facilitate the divestment and listing of tikkurila,0
back to back agms of reliance adag companies not in shareholders interest experts,-1
bad loans widens dhanlaxmi bank oct dec loss to rs 119 crore,-1
bad weather hampers rabi oilseed cultivation,-1
bafna pharma q2 up 4 pc to rs 1 28 cr,1
bafna pharma surges over 8 on stake sale reports,1
bafna pharmaceuticals proposes to raise funds,0
bain capital raises 115 million through hero share sale exits with 2x return,-1
baird upgrades tesla motors tsla to outperform https t 1fa6atoqlw,1
baird likes tsla upgrades to outperform lifts price target to 300 research firm also sees no capital raise necessary in next few qtrs,1
bajaj auto motorcycles president k srinivas quits,0
bajaj auto q1 pat seen 2 4 up at rs 735 crore,1
bajaj auto q2 at rs 591 crore,0
bajaj auto q4 declines to rs 763 93 crore 500 per cent dividend,-1
bajaj auto falls over 2 5 as nigeria devalues currency,-1
bajaj auto zooms three fold to rs 475 crore,1
bajaj auto higher input costs offset sales gain hit margins,-1
bajaj electricals q2 loss at rs 14 21 crore,-1
bajaj electricals q2 profit at rs 11 26 crore,0
bajaj electricals reports rs 10 65 crore loss in q4,-1
bajaj finance q4 profit up to a record led by strong loan growthetbfsiasset quality remained stable as gross npas dropped to 1 60 of total loans from 1 79 a year ago mumbai bajaj finance said its profit almost doubled to a record rs 2420 crore in the quarter ended march 2022 from rs 1347 crore led by strong loan growth which led to a 30 growth in interest income nii the company s total assets under management aum grew by 29 to rs 1 97 lakh crore in march 2022 from rs 1 52 lakh crore a year earlier nii or the core interest income the company earned from lending after adjusting interest expenses increased 30 to rs 6 068 crore from rs 4 659 crore a year earlier income from fees and commissions also increased 51 to rs 1164 crore from rs 770 crore a year ago among the various verticals loan against securities rose 79 to rs 10 536 crore in the quarter ended march 2022 from rs 5889 crore a year ago commercial lending increased by 39 to rs 11 498 crore in the quarter ended march 2022 the strong in these segments made up for a 16 fall in the auto financing business for bajaj finance total customers in the company stood at 57 57 million as of march 2022 up 19 from 48 57 million a year ago asset quality remained stable as gross npas dropped to 1 60 of total loans from 1 79 a year ago the company has a provisioning coverage ratio of 58 on npas loan loss provisions for the quarter ended march 2022 were rs 702 crore down from rs 1 231 crore a year ago bajaj finance said the company has not deferred its npa classification despite the reserve bank of india allowing nbfcs more time to comply with new rules pertaining to upgradation of npa accounts only on receipt of entire overdue of the customer separately bajaj finance has infused rs 2500 crore into its subsidiary company bajaj housing finance in the largest round of capital infusion so far bajaj housing and bajaj financial securities are the two wholly owned subsidiaries of bajaj finance with this infusion bajaj housing s capital adequacy jumps to over 27 from 19 72 in march 2022 and above the regulatory required 15 on a standalone basis bajaj housing s profit increased 11 to rs 198 crore in the quarter ended march 2022 from rs 179 crore a year ago the company s total assets under management aum grew by 29 to rs 1 97 lakh crore in march 2022 from rs 1 52 lakh crore a year earlier,1
bajaj finance continues to remain large part of portfolio prashasta seth,1
bajaj finserv pretty attractive hemang jani,1
bajaj finserv reports flat consolidated pat for q4 fy15,0
bajaj finserv rights issue at rs 650 share stock down,-1
bajaj finserv max india reliance capital rally as cabinet clears 49 fdi in insurance,1
bajaj holdings has corrected quite a bit ashwani gujral market strategist,1
bajaj holdings stock price down 0 84 per cent as sensex climbs reuterson an immediate basis 15 770 52 500 and 15 850 52 700 levels would be major hurdles shares of bajaj holdings investment ltd fell 0 84 per cent to rs 4450 0 at 12 28pm hours ist on thursday earlier in the day the stock saw a gap up start to the session as per data available on bse total traded quantity on the counter stood at 1 155 shares with a turnover of rs 0 52 crore till 12 28pm ist the stock traded at a price to earnings p e multiple of 12 23 while the price to book value ratio stood at 1 3 return on equity roe was at 9 46 per cent according to exchange data the stock hit an intraday high of rs 4570 95 and a low of rs 4448 0 during the session and quoted a 52 week high price of rs 6573 05 and a 52 week low of rs 3514 0 etmarkets smart talk indiaâ€™s investable landscape wider than other ems despite premium valuations piyush sharma the stock s beta value which measures its volatility in relation to the broader market stood at 0 71 technical indicators the 200 dma day moving average of the stock stood at rs 5049 86 on june 23 while the 50 dma was at rs 5025 62 if a stock trades above 50 dma and 200 dma it usually means the immediate trend is upward on the other hand if the stock trades below 50 dma and 200 dma it is considered a bearish trend if it trades between 50 dma and 200 dma then it suggests the stock can go either way the relative strength index rsi of the stood at 30 48 the rsi oscillates between zero and 100 traditionally a stock is considered overbought when the rsi value stands above 70 and oversold when it is below 30 promoter holding as of 31 mar 2022 promoters held 51 09 per cent stake in the company while fiis held 13 33 per cent and domestic institutional investors had 3 89 per cenas of 31 mar 2022 promoters held 51 09 per cent stake in the company while fiis held 12 06 per cent and domestic institutional investors had 3 58 per cent,-1
balaji amines q1 rises 9 4 to rs 9 31 crore,1
balaji telefilms q1 plummets 80 28 per cent at rs 2 08 crore,-1
balaji telefilms appoints sameer nair as group ceo,0
balaji telefils has been in a downtrend ashwani gujral,-1
balance sheet oriented news driving telecom stocks nitin raheja,-1
balasore alloys fy11 consolidated rose 115 pc to rs 27 crore,1
balasore alloys faces shutdown by year end over power arrears,-1
balfour beatty plc set to reinstate dividend and rival national grid plc and centrica plc once more,1
balkrishna industries plunges over 18 on poor q2 results,-1
ballarpur industries rallies over 13 as ifc invest 100 mn in subsidiary,1
balmer lawrie company q1 up 2 pc at rs 45 63 crore,1
balrampur chini mills q2 up by four fold,1
balrampur chini q3 profit sweeter by 40 per cent,1
balrampur chini looking weak deepak mohoni director trendwatchindia,-1
balrampur chini losses narrows to rs 63 90 crore in q2,1
balrampur chini reports rs 50 76 crore loss in q3,-1
balrampur chini reports loss of rs 9 77 crore in q1,0
balrampur chini strongest in the sugar space sandeep wagle aptart technical advisory services,1
baltic pearl cjsc a subsidiary of shanghai foreign joint investment company is developing a project in st petersburg comprising about a million square meters of residential space two hospitals and several schools and nurseries,0
bamboozled by unscheduled rbi rate hike here is what to do with your portfoliorelatedrate actions show rbi s flexibility will help markets sbi chief dinesh kharakey takeaways from surprise rbi rate hike what investors should look forpandemic era monetary largesse done and dusted rbi announces emergency rate hikenew delhi after bleeding on wednesday following the reserve bank of indiaâ€™s decision to announce a hike in benchmark policy rates in an unscheduled statement the domestic equity market recouped some losses today with the surge in global commodity prices following the ukraine war having significantly increased upside risks to indiaâ€™s inflation markets were bracing for tighter monetary policy but few were expecting the shift to a higher interest rate regime so soon jm financial institutional securitiesâ€™ md chief strategist dhananjay sinha suggests a few key themes for portfolio management â€œwe have been guarding against rate sensitive cyclical sectors such as banks capital goods industrials etc as they will be impacted by slower growth we maintain that view we have also been consistent in highlighting the valuation risks in small and mid caps segments â€ sinha said â€œwe continue to favour a balanced portfolio with higher weights on domestic non cyclicals and other defensive components such as pharma technology utilities etc â€ higher interest rates translate into higher cost of capital for firms as loans get dearer another way stocks would stand to be impacted is erosion of valuations caused by higher sovereign bond yields which represent the risk free borrowing rate in the economy more stories for youâœ•rate actions show rbi s flexibility will help markets sbi chief dinesh kharakey takeaways from surprise rbi rate hike what investors should look forpandemic era monetary largesse done and dusted rbi announces emergency rate hikeâ« back to recommendation storiesi don t want to see these stories becausethey are not relevant to methey disrupt the reading flowotherssubmit yield on the 10 year benchmark government bond shot up 26 basis points on wednesday to end at 7 38 per cent bond prices fall when bond yields rise â€œwe continue to maintain that the india 10 year gsec yield will harden further to 7 75 with an upside risk expect inr usd at 80 and nifty50 range at 17 500 15 000 with downside risk in the near term â€ sinha said according to the analyst the rbiâ€™s move today may just be the tip of the iceberg as there exists plenty of room for rates to head higher from where they are right now â€œafter the 40bp hike the real repo rate would still be 1 6 4 4 core inflation of 6 significantly lower than an estimated neutral rate of 1 â€ sinha said â€œand if the rbi wants to achieve price stability through monetary policy normalisation the real rate has to go above 1 thus there is plenty of room for further rate hikes and liquidity normalization going forward â€ bearish earnings viewwith monetary accommodation being withdrawn at a time when the recovery in demand is still modest and fiscal impulses negative the earnings trajectory of indian companies is set to be affected sinha said according to the strategist the spending growth of 4 6 per cent outlined in the union budget for the current financial year is negative in real terms â€œin our view the 16 17 consensus growth assumption for nifty50 companies for fy23 fy24e after a post covid rebound of 40 in fy22e is very optimistic thus our guidance of a 15 20 cut in estimates in the next 24 months appears realistic â€ disclaimer recommendations suggestions views and opinions given by the experts are their own these do not represent the views of economic times jm financial institutional securitiesâ€™ md chief strategist dhananjay sinha suggests a few key themes for portfolio management,-1
bandhan bank shares decline 0 09 as sensex slides getty imagesretail and banking stocks rose 0 5 per cent and 0 7 per cent respectively shares of the bandhan bank ltd traded at rs 323 45 on bse at 01 02pm ist on monday down 0 09 per cent from previous close the stock quoted a 52 week low price of rs 229 65 and a high of rs 364 85 earlier shares of the company saw a gap up opening in the morning etmarkets smart talk indiaâ€™s investable landscape wider than other ems despite premium valuations piyush sharma a total of 199 151 lakh shares changed hands on the counter till 01 02pm ist the stock of bandhan bank ltd commands a market value of rs 52090 79 crore the stock traded at a price to earning p e multiple of 31 13 while the price to book value ratio stood at 3 13 return on equity roe was at 12 66 per cent according to exchange data in the bse500 pack 313 stocks traded in the green while 188 stocks were in the red promotor holding promoters held 39 99 per cent in the bandhan bank ltd as of 31 dec 2021 while foreign portfolio investors and domestic institutional investors owned 34 6 per cent and 1 93 per cent respectivela total of 199 151 shares changed hands on the counter till 01 02pm ist,1
bank nifty is the key to tomorrow trading mitesh thacker,0
bank nifty may consolidate mitesh thacker,0
bank nifty recovering pull back in the market ashwani gujral,1
bank nifty unlikely to rally in short term mitesh thacker,-1
bank nifty cnx it not showing much strength despite index hitting life time high mitesh thacker,-1
bank of america finds a 4 bn mistake suspends buyback dividend hike plans,-1
bank of baroda q4 rises 12 to rs 1 157 crore,1
bank of baroda falls on msci deletion,-1
bank of baroda issues 750 million dollar bonds for 5 5 years,0
bank of baroda raises 500 mn via bond issue,1
bank of china first chinese bank to join gold price benchmark,0
bank of india raises rs 2 500 crore from bonds,1
bank of indias profit up 8 6 per cent due high provisions for bad loan,1
bank on the lenders for superb returns in 2016,0
bank stocks have to participate in rally to take market higher ashwani gujral,0
bank it stocks to underperform nifty in the short run ashwani gujral,-1
bank realty auto stocks slip after rbi keeps rates unchanged,-1
bank auto energy stocks may push nifty higher mitesh thacker,1
bank auto realty stocks stuck in a range ahead of rbi policy review,0
bank cement stocks have done phenomenally well in the last three months anish damania,1
bankers seek clarity on tax treatment of new additional tier i bonds under basel iii,0
banking and auto sector remain favourites mitesh thacker,1
banking is the sector is own right now satish betadur,0
banking pack looks pretty interesting to me mitesh thacker,1
banking sector getting over the hump exercise caution on it counters ajay bodke,1
banking sector will benefit in coming days gaurav mehta,1
banking stocks crack icici bank pnb down over 3,-1
banking stocks to see lot of traction mitesh thacker,1
banking autos and it will lead the rally prashasta seth,1
banking energy and fmcg stocks may push nifty towards 6650 6700 mitesh thacker,1
banking telecom it brace for big disruptions in 2016,-1
banks a bit dicey exercise caution and be stock specific daljeet singh kohli,-1
banks could be best sector consumption looks strong morgan stanley s ridham desaiagenciesmorgan stanley india s ridham desai this is like a mid bull market type of correction said morgan stanley s head of india research ridham desai in an interview with sanam mirchandani and nishanth vasudevan ahead of the firm s annual india conference desai said he is bullish on banks consumer discretionary and technology edited excerpts how are you reading indian market valuations after the recent fall given that india is at the beginning of a potentially large and long growth cycle i am quite okay with valuations they are not extended or too cheap at this point in the market cycle what matters is the growth cycle rather than valuations we are at the mid cycle stage the early pickings are done when the valuation re rates in anticipation of higher growth the next stage is likely driven by growth rather than multiple expansion this is like a mid bull market type of correction the global growth tailwind will not be as strong as it was in 2003 2007 india s valuations have always been at a premium are they justified given the macro headwinds emerging markets as a cohort are no longer the same as it was 20 years ago certain ems are totally broken in macro terms comparing india with that cohort is becoming less and less relevant i would want to look at this relative to india s own history if you look at price to book we are kind of on a par with history of course the roes return on equity are below history the market is anticipating a new roe cycle the roe will probably get to around 20 but i don t know whether we will get to 24 another thing is the gdp growth number we averaged nearly 9 between 2003 and 2008 it is going to not go at that rate the economy is very differently sized so it is unlikely to deliver the same type of real growth and that also impacts roe which investment themes are you betting on the banking space is our largest overweight position in the next 12 to 18 months banks could probably end up being the best performing sector in banking we have improving credit growth falling credit costs and potentially rising nims interest margins as rates go up the other thing to watch out for is discretionary consumption there s a revival in jobs and wages and there is also pent up demand coming out of the covid lockdowns discretionary consumption looks very strong we also like tech the us recession is not our base case but if it happens then there will be some cutback on spending and that will hurt indian tech companies a lot of them have surprised us on the upside with their transition from enterprise to digital over the last five seven years we are underweight everything else including healthcare energy materials and utilities are the it stock valuations cheap after the recent sell off no they are not their growth profile has shifted so they ought to be trading better than history especially if you take a 10 year period if you take a 25 year history then it is okay because they had gone into bubble territory at the end of the 90s the correction reflects the concerns that both the us markets and indian tech stocks have expressed about a potential us recession or a material slowdown in growth the 2003 2010 period belonged to infrastructure 2010 to 2020 was consumption do you think this decade will belong to infrastructure again i would almost go to the extent of saying the stars are aligned for a major revival in india s manufacturing sector the sector has lost share in gdp persistently over the last 20 25 years a lot of things have changed in the last few years we have competitive tax rates and corporations are looking to diversify away from china on an incremental basis and looking to come to india to set up production facilities the government is trying direct cash incentives to companies to invest in india manufacturing would be the thing to watch out for in the next ten years given that india is at the beginning of a potentially large and long growth cycle i am quite okay with valuations they are not extended or too cheap said ridham desai replying to a question,1
banks holding on to subsidy share say payments firmsreuterspayments companies and banks are at loggerheads over the sharing of government granted subsidies for building payment infrastructure said three people with knowledge of the matter the companies have written to the national payments corp of india npci complaining that â‚¹700 crore of the â‚¹1 500 crore granted in the budget is being retained by banks they said this has deprived companies connecting up the last mile of state promised revenues according to them the government granted the subsidies in exchange for waiving merchant discount rate mdr charges the government has released â‚¹700 crore worth of subsidies to banks but they are not sharing it with any payment aggregators said the ceo of a payments company on condition of anonymity compensation for mdr waiver we have taken up the matter with npci which is the nodal agency but the feedback that we got is that we should take the matter up with respective banks but they are not responding last year finance minister nirmala sitharaman had announced a rs 1 500 crore fund to hasten the expansion of india s digital payments industry a move that was seen as compensating for the waiver of mdr on the use of the unified payments interface upi and rupay cards in her previous budget payment aggregators are entitled to receive a 15 basis point subvention on small value digital transactions a basis point is 0 01 percentage point we have asked all banks for whom we process transactions on the rupay debit cards they are not sharing any subsidy amount with us said another ceo payment aggregators put in so much effort to acquire transactions on the rupay platform when most banks were either surrendering these cards or going slow on expansion banks didn t respond to queries on the matter currently the cost of digital payment services such as switching fees or interchange fees is borne by one or more of the payment system participants or is passed on to merchants through the mdr or ultimately levied on the customer as additional charges the reserve bank of india rbi said it will carry out a comprehensive review of all aspects related to charges involved in various channels of digital payments in the recently released payments vision 2025 document we believe this review could result in relatively higher credit card and wallet mdrs and the introduction of mdr on upi to at least cover the cost said anand dama senior research analyst emkay global while the adoption of electronic payments has surged concerns abound over viability total digital payments rose 216 and 10 in terms of volume and value respectively in march from the year earlier according to rbi data on the other hand usage of paper instruments such as cheques declined significantly during the period with their share in total retail payments registering a decline from 3 83 to 0 88 in terms of volume and from 19 62 to 11 47 in terms of value the companies have written to the national payments corp of india npci complaining that â‚¹700 crore of the â‚¹1 500 crore granted in the budget is being retained by banks,-1
banks outpace flat ftse after rbs bumper results,1
banks reduce lending to mills as sugar prices fall,-1
banks seek shareholder nod for rs 5 934 crore capital infusion,0
banks sitting on big losses hopefully it just a one time loss hemindra hazari,-1
banks take a cue from rbi hike lending ratesptiicici bank bank of baroda punjab national bank and bank of india are among the leading local lenders that thursday raised their external reference benchmarks used largely for pricing retail loans a day after reserve bank of india increased its key rate for the second time in as many months to restrain inflation about half of the country s outstanding banking credit is linked to external rates these banks raised their respective external benchmark lending rates eblr by 50 basis points bps matching the latest increase in the repo or the rate at which rbi lends short term funds to commercial banks one basis point is 0 01 percentage point icici bank s eblr now stands at 8 6 up from 8 1 before icici bank external benchmark lending rate i eblr is referenced to the rbi policy repo rate with a mark up over the repo rate the bank said on its web site retail loans linked to eblr public sector lender bank of baroda said its eblr rate now stands at 7 4 effective june 9 just like they had declined sharply rates will normalise in a similar manner said sanjiv chadha md bank of baroda eblr linked loans are 30 35 of our portfolio at bank of baroda about 40 of the loans are linked to an internal reference gauge or the marginal cost of funds based lending rate mclr in mclr the increase will be more gradual because it is linked to the deposit costs which will rise depending on how the liquidity situation moves said chadha all banks will automatically pass on the entire repo rate increase to customers that borrowed funds linked to external benchmarks in the case of loans priced on mclr or a fixed rate the asset liability committees of the respective banks are expected to decide on the quantum of increase in loan costs more than 40 of all outstanding bank loans are linked to the eblr currently and another 30 are linked to mclr the remaining are fixed rate loans all fresh retail and msme loans are linked to eblr while corporate loans are linked to mclr public sector lender punjab national bank said its repo linked lending rate will be 7 4 effective june 9 bank of india also revised its rates 50 bps higher to 7 75 the central bank and rbl bank too raised their eblrs separately kotak mahindra bank announced a rise in its interest rates on savings accounts and fixed deposits daily balances in savings accounts above rs 50 lakh will earn 50 basis points higher or 4 rates on fixed deposits have been increased in the range of 10 to 25 basis points mortgage lender hdfc too announced an increase in its retail prime lending rate rplr on housing loans by 50 basis points with effect from june 10 its home loans now start from 7 55 immediate transmission eblr will move in tandem with the entire regulatory movement since retail loans are linked to eblr the transmission will happen said shanti ekambaram group president consumer banking kotak mahindra bank it s clear that we will see another few rounds of rate hikes which could take the repo rate to 5 5 6 the market rates have gone up much sharper so we felt that our savers should also get reasonable returns on tuesday private lender hdfc bank increased its mclr by 35 basis points across loan tenors making loans expensive for existing borrowers the new mclr will now range between 7 5 and 8 05 the one year mclr rate stands at 7 85 the bank had earlier raised mclr by 25 basis points on may 7 after the central bank had raised the repo by 40 bps in an unscheduled rate action these banks raised their respective external benchmark lending rates eblr by 50 basis points bps matching the latest increase in the repo or the rate at which rbi lends short term funds to commercial banks one basis point is 0 01 percentage point,-1
banks tank as rbi moves to introduce new methodology for base rate calculation,-1
banks it and fmcg are top rung sectors prashasta seth,1
banks autos realty stocks stuck in a range ahead of rbi policy review,0
banks capital goods metal companies take sensex nifty to new peak,1
banks housing companies rally on rbi s new norms,1
banks largecap stocks likely to correct next week ashwani gujral,0
banks realty decline ahead of rbi policy meet,-1
banks realty stocks recover from lows post rbi policy review,0
banks realty capital goods stocks plunge on rbi status quo,-1
banyan tree picks up minority stake in dee development,1
